check_id,poc_name_dummy,platform_enum,sub_channel_enum,rating_score_num,open_time,beer_sales_volume_num,sales_volume_num,price_perLitre,single_pack_unit,single_pack_num,beer_sub_brand_enum
adbb981e3e6b580db3f5ea9d51f62415,poc7,ele,地方菜系,3.9,['00:00:00-23:59:00'],283,220,18,瓶,1,三得利啤酒
adbb981e3e6b580db3f5ea9d51f62415,poc7,ele,地方菜系,3.9,['00:00:00-23:59:00'],283,52,27.2727272727273,瓶,1,雪花
adbb981e3e6b580db3f5ea9d51f62415,poc7,ele,地方菜系,3.9,['00:00:00-23:59:00'],283,11,27.2727272727273,罐,1,三得利清爽
'846178473618750,poc8,meituanwm,烧烤/小龙虾,4.2,"['00:00-01:30', '15:00-23:59']",247,247,14,罐,1,三得利啤酒
'1032704608305796,poc11,meituanwm,特色小吃,4.8,['09:00-23:59'],201,61,10,罐,1,三得利啤酒
'1032704608305796,poc11,meituanwm,特色小吃,4.8,['09:00-23:59'],201,61,10,罐,1,三得利啤酒
'1032704608305796,poc11,meituanwm,特色小吃,4.8,['09:00-23:59'],201,0,13.0909090909091,罐,1,雪花
'1032704608305796,poc11,meituanwm,特色小吃,4.8,['09:00-23:59'],201,18,12,罐,1,雪花
'1032704608305796,poc11,meituanwm,特色小吃,4.8,['09:00-23:59'],201,61,10,罐,1,三得利啤酒
'1080245601360177,poc17,meituanwm,川湘菜,4.1,['10:00-23:30'],149,149,12,罐,1,三得利啤酒
'982075533857866,poc21,meituanwm,简餐便当,4.2,['00:00-23:59'],136,14,8,瓶,1,青岛
'982075533857866,poc21,meituanwm,简餐便当,4.2,['00:00-23:59'],136,29,12.1212121212121,瓶,1,雪花
'982075533857866,poc21,meituanwm,简餐便当,4.2,['00:00-23:59'],136,25,15.1515151515152,罐,1,雪花
'982075533857866,poc21,meituanwm,简餐便当,4.2,['00:00-23:59'],136,14,8,瓶,1,青岛
'982075533857866,poc21,meituanwm,简餐便当,4.2,['00:00-23:59'],136,29,12.1212121212121,瓶,1,雪花
'982075533857866,poc21,meituanwm,简餐便当,4.2,['00:00-23:59'],136,25,15.1515151515152,罐,1,雪花
'1023161191024774,poc22,meituanwm,特色小吃,4.3,['00:00-23:59'],130,36,15.1515151515152,罐,1,三得利啤酒
'1023161191024774,poc22,meituanwm,特色小吃,4.3,['00:00-23:59'],130,94,14,罐,1,三得利啤酒
'918797780672660,poc24,meituanwm,烧烤/小龙虾,4.3,"['00:00-00:30', '15:00-23:59']",123,123,20,罐,1,三得利啤酒
'1009232612056088,poc26,meituanwm,米粉面馆,4.4,['10:30-20:50'],119,1,20,罐,1,青岛
'1009232612056088,poc26,meituanwm,米粉面馆,4.4,['10:30-20:50'],119,59,16,罐,1,汉斯
'1009232612056088,poc26,meituanwm,米粉面馆,4.4,['10:30-20:50'],119,59,16,罐,1,汉斯
'930492976610987,poc27,meituanwm,炸鸡炸串,4.6,['10:30-23:00'],116,58,13.6363636363636,瓶,1,雪花
'930492976610987,poc27,meituanwm,炸鸡炸串,4.6,['10:30-23:00'],116,58,13.6363636363636,瓶,1,雪花
ac035e1904b917c0765805362392863d,poc29,ele,烧烤/小龙虾,4.7,['15:00:00-03:00:00'],113,43,14,罐,1,others
ac035e1904b917c0765805362392863d,poc29,ele,烧烤/小龙虾,4.7,['15:00:00-03:00:00'],113,70,14,罐,1,青岛
d8d427cc7c56d6682b4e20521ad1ffa7,poc31,ele,烧烤/小龙虾,4.5,['16:00/02:00'],107,84,9.09090909090909,罐,1,雪花
d8d427cc7c56d6682b4e20521ad1ffa7,poc31,ele,烧烤/小龙虾,4.5,['16:00/02:00'],107,23,10,罐,1,青岛纯生
'853333889180687,poc32,meituanwm,米粉面馆,4.4,['09:00-21:36'],107,107,19.98,罐,1,汉斯
'1101552934124223,poc33,meituanwm,烧烤/小龙虾,4.3,"['00:00-03:00', '16:00-23:59']",105,14,31.6,罐,1,乌苏
'1101552934124223,poc33,meituanwm,烧烤/小龙虾,4.3,"['00:00-03:00', '16:00-23:59']",105,1,24,罐,1,others
'1101552934124223,poc33,meituanwm,烧烤/小龙虾,4.3,"['00:00-03:00', '16:00-23:59']",105,0,27.6,罐,1,百威经典
'1101552934124223,poc33,meituanwm,烧烤/小龙虾,4.3,"['00:00-03:00', '16:00-23:59']",105,14,31.6,罐,1,乌苏
'1101552934124223,poc33,meituanwm,烧烤/小龙虾,4.3,"['00:00-03:00', '16:00-23:59']",105,2,27.6,罐,1,乌苏
'1101552934124223,poc33,meituanwm,烧烤/小龙虾,4.3,"['00:00-03:00', '16:00-23:59']",105,39,12,罐,1,others
'1101552934124223,poc33,meituanwm,烧烤/小龙虾,4.3,"['00:00-03:00', '16:00-23:59']",105,35,16,罐,1,雪花勇闯天涯
'1101552934124223,poc33,meituanwm,烧烤/小龙虾,4.3,"['00:00-03:00', '16:00-23:59']",105,0,25.6,罐,1,雪花纯生
81626e87bf40c6ad2ab1654b4e4ea8b2,poc35,ele,烧烤/小龙虾,4.6,['16:00/03:00'],102,102,24.2424242424242,罐,1,雪花
'1093362431437381,poc39,meituanwm,烧烤/小龙虾,3.6,"['00:00-03:30', '16:30-23:59']",96,96,30.3030303030303,罐,1,雪花
